S_No,Grade,Sex,Age,Literacy mean,Number Recognition mean,Addition Mean,Subtraction mean,Multiplication mean,Division mean,school_code
1179,Class 2,Female,7.0,2,1,1,1,1,0,49
1180,Class 2,Male,7.0,2,1,1,1,1,0,49
1181,Class 2,Female,7.0,1,1,1,1,1,0,49
1182,Class 2,Male,9.0,2,1,1,1,1,0,49
1183,Class 3,Female,8.0,2,3,2,1,1,1,49
1184,Class 3,Male,8.0,1,2,1,1,1,1,49
1185,Class 3,Female,8.0,1,1,1,1,1,0,49
1186,Class 3,Male,10.0,1,1,1,1,1,0,49
1187,Class 4,Female,10.0,1,1,1,0,0,0,49
1188,Class 4,Male,8.0,3,3,2,1,2,1,49
1189,Class 4,Female,9.0,1,1,1,1,1,0,49
1190,Class 4,Male,12.0,1,0,0,0,0,0,49
1191,Class 5,Female,12.0,1,1,1,1,1,1,49
1192,Class 5,Male,10.0,3,3,2,1,2,1,49
1193,Class 5,Male,10.0,3,2,2,1,1,1,49
1194,Class 5,Male,10.0,4,4,3,1,2,2,49
1195,Class 6,Female,14.0,4,4,3,3,2,2,49
1196,Class 6,Male,11.0,4,4,3,1,2,2,49
1197,Class 6,Female,14.0,3,3,2,1,2,1,49
1198,Class 6,Male,9.0,3,3,2,1,2,1,49
1199,Class 1,Female,6.0,1,1,1,1,0,0,50
1200,Class 1,Female,6.0,1,1,0,0,0,0,50
1201,Class 1,Male,7.0,1,1,0,0,0,0,50
1202,Class 1,Male,7.0,1,1,0,0,0,0,50
1203,Class 2,Male,7.0,1,1,1,1,1,0,50
1204,Class 2,Male,8.0,1,1,1,1,0,0,50
1205,Class 2,Female,8.0,1,1,1,1,1,0,50
1206,Class 2,Female,8.0,2,1,1,1,1,1,50
1207,Class 3,Female,10.0,2,2,1,1,1,0,50
1208,Class 3,Female,9.0,1,1,1,1,0,0,50
1209,Class 3,Male,10.0,2,2,1,1,1,0,50
1210,Class 3,Male,10.0,1,1,1,1,0,0,50
1211,Class 4,Male,9.0,1,1,1,0,0,0,50
1212,Class 4,Male,10.0,2,1,1,1,1,1,50
1213,Class 4,Female,11.0,2,1,1,1,1,1,50
1214,Class 4,Female,11.0,2,2,1,1,1,0,50
1215,Class 5,Male,12.0,2,3,2,1,2,1,50
1216,Class 5,Male,13.0,2,2,2,1,2,1,50
1217,Class 5,Female,13.0,2,3,2,1,2,1,50
1218,Class 5,Female,14.0,2,2,2,1,1,1,50
1219,Class 5,Male,15.0,3,3,2,1,2,1,50
1220,Class 5,Male,14.0,2,2,2,1,2,1,50
1221,Class 5,Female,15.0,2,2,2,1,2,1,50
1222,Class 5,Female,15.0,2,2,2,1,2,1,50
1223,Class 1,Female,5.0,0,0,0,0,0,0,51
1224,Class 1,Male,6.0,1,1,0,0,0,0,51
1225,Class 1,Female,6.0,1,1,0,0,0,0,51
1226,Class 1,Male,5.0,0,0,0,0,0,0,51
1227,Class 2,Male,6.0,1,1,1,0,0,0,51
1228,Class 2,Male,7.0,1,1,1,1,1,0,51
1229,Class 2,Female,7.0,2,1,1,0,0,0,51
1230,Class 2,Male,8.0,1,2,1,1,0,0,51
1231,Class 3,Male,9.0,1,2,1,1,0,0,51
1232,Class 3,Female,9.0,2,2,2,0,0,0,51
1233,Class 3,Male,10.0,2,1,2,1,0,0,51
1234,Class 3,Female,10.0,2,2,1,1,0,0,51
1235,Class 4,Female,10.0,2,2,2,1,1,0,51
1236,Class 4,Female,11.0,2,2,2,1,1,1,51
1237,Class 4,Male,10.0,2,2,2,0,1,1,51
1238,Class 4,Male,11.0,2,2,3,1,1,1,51
1239,Class 5,Male,12.0,1,1,1,1,1,0,51
1240,Class 5,Male,10.0,2,2,1,0,0,0,51
1241,Class 5,Female,12.0,2,2,2,0,0,0,51
1242,Class 5,Female,13.0,2,2,2,1,0,0,51
1243,Class 6,Male,12.0,2,3,2,1,1,1,51
1244,Class 6,Male,13.0,2,3,2,1,2,0,51
1245,Class 6,Female,13.0,2,3,3,1,1,1,51
1246,Class 6,Female,12.0,2,3,3,1,1,1,51
1247,Class 1,Male,6.0,0,0,0,0,0,0,52
1248,Class 1,Male,6.0,0,0,0,0,0,0,52
1249,Class 1,Female,6.0,1,1,0,0,0,0,52
1250,Class 1,Female,6.0,1,0,0,0,0,0,52
1251,Class 2,Male,9.0,1,0,0,0,0,0,52
1252,Class 2,Female,8.0,1,1,0,0,0,0,52
1253,Class 2,Female,7.0,1,1,0,0,0,0,52
1254,Class 2,Male,7.0,1,1,0,0,0,0,52
1255,Class 3,Female,10.0,1,1,0,0,0,0,52
1256,Class 3,Female,9.0,2,2,2,1,1,0,52
1257,Class 3,Male,8.0,2,3,2,1,1,0,52
1258,Class 3,Male,8.0,2,3,1,1,1,1,52
1259,Class 4,Female,10.0,1,2,2,1,1,1,52
1260,Class 4,Female,10.0,2,3,2,1,2,1,52
1261,Class 4,Male,12.0,2,3,2,1,2,1,52
1262,Class 4,Male,9.0,2,3,3,3,2,1,52
1263,Class 5,Female,10.0,2,2,2,1,2,1,52
1264,Class 5,Female,13.0,2,4,2,1,2,1,52
1265,Class 5,Male,11.0,4,4,3,3,3,1,52
1266,Class 5,Male,12.0,1,3,2,1,2,1,52
1267,Class 6,Female,11.0,4,4,3,3,3,2,52
1268,Class 6,Male,10.0,1,3,2,1,1,0,52
1269,Class 6,Male,12.0,3,4,3,3,2,1,52
1270,Class 6,Female,14.0,2,3,3,3,2,1,52
1271,Class 1,Male,5.0,1,0,0,0,0,0,53
1272,Class 1,Male,6.0,1,1,0,0,0,0,53
1273,Class 1,Female,6.0,1,1,0,0,0,0,53
1274,Class 1,Female,6.0,1,1,0,0,0,0,53
1275,Class 2,Male,7.0,1,1,1,1,1,0,53
1276,Class 2,Male,7.0,1,1,1,1,1,0,53
1277,Class 2,Female,8.0,2,1,1,1,0,0,53
1278,Class 2,Female,7.0,1,2,1,1,1,0,53
1279,Class 3,Male,9.0,2,2,2,1,1,1,53
1280,Class 3,Male,10.0,2,3,2,1,2,0,53
1281,Class 3,Female,10.0,2,2,1,1,1,0,53
1282,Class 3,Female,11.0,2,3,2,1,2,1,53
1283,Class 4,Male,12.0,3,3,2,1,2,2,53
1284,Class 4,Male,13.0,3,4,3,3,2,1,53
1285,Class 4,Female,12.0,2,3,3,1,2,1,53
1286,Class 4,Female,12.0,3,3,3,3,2,1,53
1287,Class 5,Male,13.0,3,4,3,3,2,2,53
1288,Class 5,Male,13.0,4,4,3,3,3,2,53
1289,Class 5,Female,12.0,3,4,3,3,2,1,53
1290,Class 5,Female,13.0,3,4,3,3,3,1,53
1291,Class 6,Male,15.0,4,4,3,3,3,2,53
1292,Class 6,Male,15.0,4,4,3,3,3,2,53
1293,Class 6,Female,14.0,3,4,3,1,3,2,53
1294,Class 6,Female,15.0,3,4,3,3,2,2,53
1295,Class 6 ,Female,15.0,2,4,3,3,2,3,54
1296,Class 6 ,Female,14.0,3,4,2,1,2,2,54
1297,Class 6 ,Male,10.0,2,4,2,1,2,3,54
1298,Class 6 ,Male,13.0,2,4,2,1,2,2,54
1299,Class 5 ,Male,12.0,2,4,2,1,2,2,54
1300,Class 5 ,Male,13.0,2,2,2,1,2,2,54
1301,Class 5 ,Female,10.0,2,4,2,1,2,2,54
1302,Class 5 ,Female,13.0,2,3,2,1,2,2,54
1303,Class 4,Female,10.0,1,3,2,1,2,2,54
1304,Class 4,Female,13.0,1,2,2,1,2,2,54
1305,Class 4,Female,10.0,2,2,2,1,2,2,54
1306,Class 4,Male,14.0,2,3,2,1,2,2,54
1307,Class 3,Male,7.0,1,1,2,1,2,2,54
1308,Class 3,Female,10.0,1,2,2,1,2,2,54
1309,Class 3,Male,11.0,1,1,1,1,2,2,54
1310,Class 3,Female,9.0,1,2,1,1,1,1,54
1311,Class 2,Male,7.0,1,1,1,1,1,1,54
1312,Class 2,Female,8.0,0,1,1,1,1,1,54
1313,Class 2,Male,8.0,0,1,1,1,1,1,54
1314,Class 2,Female,7.0,0,1,1,1,1,1,54
1315,Class 1,Male,8.0,0,1,1,1,1,1,54
1316,Class 1,Female,7.0,0,1,1,1,1,1,54
1317,Class 1,Male,7.0,0,1,1,1,1,1,54
1318,Class 1,Female,8.0,0,1,1,1,1,1,54
1319,Class 3,Male,10.0,0,1,1,1,1,1,55
1320,Class 3,Female,8.0,2,3,2,1,2,2,55
1321,Class 3,Male,8.0,3,4,3,1,2,2,55
1322,Class 3,Female,7.0,3,3,2,1,1,2,55
1323,Class 6 ,Male,10.0,4,4,3,3,3,3,55
1324,Class 6 ,Male,11.0,4,4,3,3,3,3,55
1325,Class 6 ,Female,10.0,4,4,3,1,2,2,55
1326,Class 6 ,Female,10.0,4,4,2,1,2,2,55
1327,Class 5 ,Female,12.0,3,4,2,3,3,2,55
1328,Class 5 ,Female,9.0,3,2,2,1,2,2,55
1329,Class 5 ,Male,10.0,3,2,2,1,2,2,55
1330,Class 5 ,Male,12.0,3,3,2,1,2,2,55
1331,Class 4,Female,10.0,2,3,1,1,1,1,56
1332,Class 4,Male,10.0,2,2,1,1,1,1,56
1333,Class 4,Female,11.0,0,2,1,1,1,1,56
1334,Class 4,Male,10.0,0,1,2,1,1,1,56
1335,Class 4,Male,10.0,3,4,2,1,1,2,56
1336,Class 4,Female,9.0,3,4,2,1,1,1,56
1337,Class 4,Male,9.0,3,4,3,1,1,1,56
1338,Class 4,Female,15.0,3,4,2,1,1,1,56
1339,Class 6 ,Female,14.0,4,4,3,1,1,2,56
1340,Class 6 ,Male,12.0,2,2,1,1,1,1,56
1341,Class 6 ,Male,10.0,2,2,1,1,1,1,56
1342,Class 6 ,Female,11.0,2,2,1,1,1,1,56
1343,Class 1,Female,6.0,1,1,1,1,1,1,56
1344,Class 1,Female,5.0,1,1,1,1,1,1,56
1345,Class 1,Male,6.0,1,1,1,1,1,1,56
1346,Class 1,Male,5.0,1,1,1,1,1,1,56
1347,Class 2,Female,8.0,2,3,3,1,2,2,56
1348,Class 2,Female,8.0,2,3,2,1,2,1,56
1349,Class 2,Male,9.0,2,3,1,1,1,1,56
1350,Class 2,Male,7.0,1,2,2,1,1,1,56
1351,Class 3,Male,12.0,2,3,2,1,2,2,56
1352,Class 3,Male,10.0,2,1,2,1,2,1,56
1353,Class 3,Female,9.0,2,2,1,1,1,1,56
1354,Class 3,Female,8.0,1,1,1,1,1,1,56
1355,Class 1,Male,7.0,1,1,1,1,1,1,55
1356,Class 1,Female,7.0,1,1,1,1,1,1,55
1357,Class 1,Female,8.0,0,1,1,1,1,1,55
1358,Class 1,Male,6.0,1,2,1,1,1,1,55
1359,Class 2,Female,8.0,1,2,1,1,1,1,55
1360,Class 2,Male,8.0,1,1,2,1,1,1,55
1361,Class 2,Male,8.0,1,2,1,1,1,1,55
1362,Class 2,Female,6.0,2,1,1,1,1,1,55
1363,Class 2,Female,6.0,0,1,1,1,1,2,55
1364,Class 4,Male,11.0,4,4,3,3,2,2,55
1365,Class 4,Male,8.0,2,4,2,1,3,2,55
1366,Class 4,Female,10.0,3,3,1,1,1,1,55
1367,Class 4,Female,10.0,3,3,1,1,1,1,55
1368,Class 6 ,Male,12.0,3,3,3,3,3,2,57
1369,Class 6 ,Female,13.0,3,3,3,3,3,2,57
1370,Class 6 ,Male,13.0,3,3,3,3,3,3,57
1371,Class 6 ,Female,12.0,2,3,3,3,3,3,57
1372,Class 4,Male,11.0,2,1,2,1,1,1,57
1373,Class 4,Female,12.0,2,2,2,1,1,1,57
1374,Class 4,Female,11.0,0,2,2,1,1,2,57
1375,Class 4,Male,12.0,3,3,2,1,2,1,57
1376,Class 1,Male,7.0,1,1,1,1,1,1,57
1377,Class 1,Male,6.0,1,1,1,1,1,1,57
1378,Class 1,Female,7.0,1,1,1,1,1,1,57
1379,Class 1,Female,7.0,1,1,1,1,1,1,57
1380,Class 1,Female,7.0,0,1,1,1,1,1,58
1381,Class 1,Female,6.0,0,1,1,1,1,1,58
1382,Class 1,Male,6.0,0,1,1,1,1,1,58
1383,Class 1,Male,7.0,0,1,1,1,1,1,58
1384,Class 1,Male,5.0,0,1,1,1,1,1,58
1385,Class 2,Female,7.0,0,1,1,1,1,1,58
1386,Class 2,Male,8.0,1,2,2,1,2,1,58
1387,Class 2,Male,8.0,1,2,2,1,3,2,58
1388,Class 2,Female,7.0,1,2,2,1,2,2,58
1389,Class 2,Male,0.0,0,1,1,1,1,2,58
1390,Class 3,Male,8.0,2,3,2,3,3,2,58
1391,Class 3,Male,9.0,2,3,3,1,2,2,58
1392,Class 3,Female,8.0,1,2,2,1,2,2,58
1393,Class 3,Female,8.0,2,2,2,1,2,2,58
1394,Class 4,Male,9.0,2,3,2,1,2,2,58
1395,Class 4,Female,9.0,2,3,3,1,2,2,58
1396,Class 4,Male,10.0,2,3,3,1,2,2,58
1397,Class 4,Female,9.0,2,3,3,1,2,2,58
1398,Class 5 ,Female,12.0,2,3,3,3,3,3,58
1399,Class 5 ,Male,11.0,3,4,3,1,3,2,58
1400,Class 5 ,Female,11.0,2,2,2,3,2,2,58
1401,Class 5 ,Male,10.0,2,3,2,1,2,2,58
1402,Class 6 ,Female,12.0,3,4,3,3,3,3,58
1403,Class 6 ,Female,11.0,3,4,3,3,3,3,58
1404,Class 6 ,Male,12.0,3,4,3,3,3,3,58
1405,Class 6 ,Male,14.0,3,4,3,3,3,3,58
1406,Class 1,Male,6.0,0,1,1,1,1,1,59
1407,Class 1,Female,7.0,0,1,1,1,1,1,59
1408,Class 1,Female,6.0,0,1,1,1,1,1,59
1409,Class 1,Male,6.0,0,1,1,1,1,1,59
1410,Class 2,Male,7.0,0,2,2,1,2,1,59
1411,Class 2,Male,8.0,1,2,2,1,1,1,59
1412,Class 2,Female,8.0,1,2,1,1,2,1,59
1413,Class 2,Female,8.0,1,2,2,1,2,2,59
1414,Class 3,Male,10.0,2,3,3,1,2,2,59
1415,Class 3,Female,9.0,2,2,2,1,2,2,59
1416,Class 3,Male,9.0,2,3,3,3,2,2,59
1417,Class 3,Female,10.0,2,3,2,1,2,2,59
1418,Class 4,Female,11.0,3,4,3,3,3,3,59
1419,Class 4,Female,10.0,2,3,2,1,2,2,59
1420,Class 4,Male,11.0,3,3,3,1,2,3,59
1421,Class 4,Male,10.0,3,3,3,1,2,3,59
1422,Class 5 ,Male,12.0,4,4,3,3,3,3,59
1423,Class 5 ,Male,11.0,4,4,3,3,3,3,59
1424,Class 5 ,Female,12.0,3,4,3,3,3,3,59
1425,Class 5 ,Female,12.0,4,4,3,3,3,3,59
1426,Class 6 ,Female,12.0,3,4,3,3,3,3,59
1427,Class 6 ,Male,13.0,4,4,3,3,3,3,59
1428,Class 6 ,Male,12.0,3,4,3,3,3,3,59
1429,Class 6 ,Female,12.0,4,4,3,3,3,3,59
1430,Class 1,Female,6.0,0,1,1,1,1,1,60
1431,Class 1,Female,6.0,0,1,1,1,1,1,60
1432,Class 1,Male,7.0,0,1,1,1,1,1,60
1433,Class 1,Male,6.0,0,1,1,1,1,1,60
1434,Class 2,Female,10.0,1,2,1,1,1,1,60
1435,Class 2,Male,7.0,2,3,1,1,1,1,60
1436,Class 2,Female,10.0,2,2,1,1,1,1,60
1437,Class 2,Male,9.0,1,2,1,1,1,1,60
1438,Class 4,Female,12.0,2,4,3,1,2,1,60
1439,Class 4,Female,10.0,1,2,2,1,1,1,60
1440,Class 4,Male,9.0,1,4,2,1,2,1,60
1441,Class 4,Male,12.0,1,2,2,1,1,1,60
1442,Class 5 ,Female,9.0,3,4,3,3,2,2,60
1443,Class 5 ,Female,12.0,3,4,2,1,1,1,60
1444,Class 5 ,Male,12.0,3,4,3,3,3,1,60
1445,Class 5 ,Male,13.0,3,4,3,3,2,1,60
1446,Class 3,Male,10.0,2,3,2,1,2,1,60
1447,Class 3,Female,11.0,2,3,2,1,1,1,60
1448,Class 3,Female,8.0,2,3,2,1,2,1,60
1449,Class 3,Female,8.0,3,3,2,1,1,1,60
1450,Class 6 ,Male,10.0,2,2,2,1,2,1,60
1451,Class 6 ,Female,13.0,2,4,3,1,2,1,60
1452,Class 6 ,Male,12.0,4,4,2,3,2,2,60
1453,Class 6 ,Female,12.0,2,3,2,1,2,1,60
1454,Class 1,Male,8.0,2,2,2,1,1,1,61
1455,Class 1,Female,6.0,1,1,1,1,1,1,61
1456,Class 1,Male,9.0,1,2,1,1,1,1,61
1457,Class 1,Female,9.0,1,2,1,1,1,1,61
1458,Class 2,Female,8.0,1,1,1,1,1,1,61
1459,Class 2,Male,9.0,1,1,1,1,1,1,61
1460,Class 2,Female,7.0,1,1,1,1,1,1,61
1461,Class 2,Male,8.0,1,1,1,1,1,1,61
1462,Class 3,Male,12.0,2,2,2,1,1,1,61
1463,Class 3,Female,8.0,2,1,1,1,1,1,61
1464,Class 3,Female,12.0,1,1,1,1,1,1,61
1465,Class 3,Male,9.0,2,2,2,1,1,1,61
1466,Class 4,Female,15.0,1,2,2,1,1,1,61
1467,Class 4,Male,9.0,2,3,2,1,1,1,61
1468,Class 4,Female,11.0,2,2,2,1,1,1,61
1469,Class 4,Male,12.0,2,2,2,1,1,1,61
1470,Class 5 ,Male,13.0,1,2,2,1,2,1,61
1471,Class 5 ,Female,10.0,1,2,2,1,2,2,61
1472,Class 5 ,Male,13.0,2,3,3,3,2,2,61
1473,Class 5 ,Female,10.0,2,2,2,1,2,2,61
1474,Class 6 ,Female,10.0,4,4,3,3,3,2,61
1475,Class 6 ,Male,15.0,4,4,3,3,2,2,61
1476,Class 6 ,Male,14.0,3,4,3,3,2,2,61
1477,Class 6 ,Female,14.0,3,4,3,3,2,2,61
1478,Class 5 ,Male,10.0,2,2,1,1,1,1,57
1479,Class 5 ,Male,10.0,3,3,3,3,1,1,57
1480,Class 5 ,Female,16.0,1,2,1,1,1,1,57
1481,Class 5 ,Female,11.0,1,4,1,1,1,1,57
1482,Class 5 ,Male,9.0,1,2,1,1,1,1,57
1483,Class 5 ,Male,8.0,2,3,1,1,1,1,57
1484,Class 5 ,Female,9.0,0,1,1,1,1,1,57
1485,Class 5 ,Female,8.0,2,3,2,1,1,1,57
1486,Class 5 ,Female,8.0,1,1,1,1,1,1,57
1487,Class 5 ,Male,9.0,1,1,1,1,1,1,57
1488,Class 5 ,Female,7.0,1,1,1,1,1,1,57
1489,Class 5 ,Male,10.0,0,1,1,1,1,1,57
1490,Class 1,Female,6.0,1,1,1,1,1,1,62
1491,Class 1,Male,7.0,1,1,1,1,1,1,62
1492,Class 1,Female,6.0,1,1,1,1,1,1,62
1493,Class 1,Male,6.0,0,1,1,1,1,1,62
1494,Class 1,Female,7.0,1,1,1,1,1,1,62
1495,Class 2,Female,7.0,1,1,1,1,1,1,62
1496,Class 2,Male,6.0,1,1,1,1,1,1,62
1497,Class 2,Female,7.0,1,1,1,1,1,1,62
1498,Class 2,Male,8.0,1,1,1,1,1,1,62
1499,Class 3,Male,9.0,3,2,2,1,2,2,62
1500,Class 3,Female,8.0,2,2,2,1,2,2,62
1501,Class 3,Female,8.0,3,3,3,3,3,3,62
1502,Class 3,Male,10.0,2,3,3,3,3,3,62
1503,Class 4,Male,8.0,3,3,3,3,2,2,62
1504,Class 4,Female,10.0,3,3,3,3,3,3,62
1505,Class 4,Male,9.0,3,3,3,3,3,2,62
1506,Class 4,Female,9.0,3,4,3,1,2,2,62
1507,Class 5 ,Male,10.0,4,4,3,3,3,3,62
1508,Class 5 ,Female,5.0,3,4,3,3,2,2,62
1509,Class 5 ,Male,9.0,3,4,2,1,2,1,62
1510,Class 5 ,Female,9.0,3,4,2,1,2,2,62
1511,Class 1,Male,6.0,1,1,1,1,1,1,63
1512,Class 1,Female,7.0,1,1,1,1,1,1,63
1513,Class 1,Female,6.0,0,1,1,1,1,1,63
1514,Class 1,Male,5.0,0,1,1,1,1,1,63
1515,Class 1,Male,5.0,0,1,1,1,2,1,63
1516,Class 2,Male,6.0,0,1,1,1,1,1,63
1517,Class 2,Female,6.0,0,1,1,1,1,1,63
1518,Class 2,Female,8.0,1,1,1,1,1,1,63
1519,Class 2,Female,6.0,0,1,1,1,1,1,63
1520,Class 3,Male,8.0,0,1,1,1,1,1,63
1521,Class 3,Female,9.0,0,1,1,1,1,1,63
1522,Class 3,Male,10.0,0,1,1,1,1,1,63
1523,Class 3,Male,12.0,0,1,1,1,1,1,63
1524,Class 4,Male,11.0,1,1,1,1,1,1,63
1525,Class 4,Female,11.0,2,1,1,1,1,1,63
1526,Class 4,Male,10.0,1,1,1,1,1,1,63
1527,Class 4,Male,12.0,1,1,1,1,1,1,63
1528,Class 5 ,Male,12.0,2,1,1,1,2,1,63
1529,Class 5 ,Female,10.0,2,2,2,1,2,2,63
1530,Class 5 ,Female,10.0,2,2,2,1,2,2,63
1531,Class 5 ,Female,10.0,2,2,2,1,2,2,63
1532,Class 6 ,Female,10.0,2,2,2,1,2,2,62
1533,Class 6 ,Female,12.0,2,3,2,1,2,2,62
1534,Class 6 ,Male,11.0,2,3,2,1,2,2,62
1535,Class 6 ,Male,12.0,2,3,2,1,2,2,62
1536,Class 6 ,Female,12.0,3,4,3,3,3,3,64
1537,Class 6 ,Male,13.0,3,4,3,3,3,2,64
1538,Class 6 ,Male,13.0,3,4,3,3,3,2,64
1539,Class 6 ,Female,10.0,2,4,3,3,3,2,64
1540,Class 1,Male,7.0,0,1,1,1,1,1,64
1541,Class 1,Female,6.0,0,1,1,1,1,1,64
1542,Class 1,Female,6.0,0,1,1,1,1,1,64
1543,Class 1,Female,6.0,1,1,1,1,1,1,64
1544,Class 2,Male,7.0,2,1,1,1,1,1,64
1545,Class 2,Female,8.0,0,1,1,1,1,1,64
1546,Class 2,Male,7.0,0,2,1,1,1,1,64
1547,Class 2,Female,8.0,0,1,1,1,1,1,64
1548,Class 3,Male,8.0,1,3,1,1,1,1,64
1549,Class 3,Female,9.0,2,3,1,1,1,1,64
1550,Class 3,Female,10.0,2,2,2,1,2,1,64
1551,Class 3,Male,8.0,2,1,1,1,2,1,64
1552,Class 4,Male,9.0,1,3,2,1,2,1,64
1553,Class 4,Female,12.0,2,2,2,1,2,1,64
1554,Class 4,Female,11.0,1,2,1,1,2,1,64
1555,Class 4,Female,8.0,1,1,1,1,2,2,64
1556,Class 5 ,Male,11.0,3,2,2,1,2,1,64
1557,Class 5 ,Male,13.0,3,4,3,1,2,1,64
1558,Class 5 ,Male,12.0,3,4,2,1,2,1,64
1559,Class 5 ,Female,12.0,3,4,2,1,2,1,64
